Company Name,Website,Emails Found,Status
Bizzy Fire Control Northern Cape Branch,https://bizzyfiresa.co.za/,"capetown@bizzyfiresa.co.za,info@bizzyfiresa.co.za,marketing@bizzyfiresa.co.za,ncapetown@bizzyfiresa.co.za,nelspruit@bizzyfiresa.co.za,nnelspruit@bizzyfiresa.co.za",done
Top Security Systems - TSS,https://topsec.co.za/,tss@kimberley.co.za,done
Trango Tech San Jose - Mobile App Development Company,https://litslink.com/,"sales@litslink.com,you@company.com",done
ET Fire Protection,http://www.fireguardext.com/,,no email
"Security Services Northwest, Inc",https://www.ssnwhq.com/,"info@ssnwHQ.com,info@ssnwhq.com,u003Einfo@ssnwhq.com",done
Pagora Technologies,https://pagora.co.za/,"mishackmay@gmail.com,you@example.com,your@email.com",done
Western States Fire Protection,https://www.wsfp.com/,,no website
Bizzy Fire Control Pty Ltd,https://bizzyfiresa.co.za/?utm_source=GMBlisting&utm_medium=organic,"capetown@bizzyfiresa.co.za,info@bizzyfiresa.co.za,marketing@bizzyfiresa.co.za,ncapetown@bizzyfiresa.co.za,nelspruit@bizzyfiresa.co.za,nnelspruit@bizzyfiresa.co.za",done
Flame Stoppers (PTY) LTD,https://www.flamestoppers.co.za/,john@flamestoppers.co.za,done
Equity Fire Solutions,http://www.equityfiresolutions.co.za/,info@equityfiresolutions.co.za,done
Utterlink Network and Security,https://www.securitysuperstore.co.za/contact-us/#cape-town,,no website
KRS | Khanyisa Real Systems | Software Development Company,https://krs.co.za/,"enquiries@krs.co.za,info@krs.co.za,jobs@krs.co.za",done
Fire Check,http://www.firecheck.co.za/,"info@firecheck.co.za,service@firecheck.co.za",done
Summit Fire Protection,https://summitfire.com/locations/des-moines/,,no email
North West Security Systems® Ltd,http://www.northwestsecuritysystems.co.uk/,"info@northwestsecuritysystems.co.uk,info@northwestsecuritysystems.co.za",done
Source Allies,https://www.sourceallies.com/,,no email
Northwest Fire Systems,https://nwfiresystems.com/?utm_source=gmb&utm_medium=organic,,no email
Blue Flame Group,http://blueflamegroup.co/,"info@blueflamegrp.co.za,info@blueflamegrp.com",done
Kaleidocode Pty Ltd,http://www.kaleidocode.co.za/,,no website
EyeDentiFire,http://www.eyedentifire.co.za/,,no email
Speedies Fire,https://speediesfire.co.za/,"george@speedflame.co.za,pretoria@speedflame.co.za,speed2@telkomsa.net,speediesgeorge@speedflame.co.za,speedieswtb@speedflame.co.za",done
Maximum Security Services,http://www.maximumsecurity.co.za/,info@maximumsecurity.co.za,done
A‌scentium Technologies Pty Ltd,http://ascentiumapps.co.za/,,no email
Extreme Security,http://www.extreme24-7.co.za/,"24-7@extreme24-7.co.za,lizell@extreme24-7.co.za,lizelle@extreme24-7.co.za,rudi@extreme24-7.co.za",done
COMPRSA,http://www.comprsa.com/,,no website
A2Z Fire & Electrical,https://www.a2zfireandelectrical.com/,,no website
Approved Fire Risk Assessments ltd,http://www.kforcesecurity.co.uk/,"aPvd@1.EdiJZu,nIQc@7ueiU.ra,sales@kforcesecurity.co.uk,sales@kforcesecurity.co.za",done
Ashes Fire and Security (Pty) Ltd,https://ashesfire.co.za/,admin@ashesfire.co.za,done
Eco Security Limited,http://ecosecurity.org.uk/,"info@ecosecurity.org,info@ecosecurity.org.uk",done
Vention - Software Development Company,https://limeup.io/,hello@limeup.io,done
OFS Fire Services,https://www.centaofsfire.com/,"accounts@centaofsfire.com,sales@centaofsfire.com,systems@centaofsfire.com",done
Defensor Security,https://www.defensorsecurity.co.za/,,no website
Alienspace Technologies,http://alienspace.co.za/,"anapbm@gmail.com,support@alienspace.co.za,team@latofonts.com",done
Elvey Security Technologies - Polokwane Branch,http://www.elvey.co.za/,info@elvey.co.za,done
Singularity Technologies (pty) Ltd,http://www.singularitytech.co.za/,,no email
ACS Security Office,http://www.acssecurity.co.za/,"info@acssecurity.co.za,sales@acssecurity.co.za",done
Fireside Security | Fire Alarm Services,https://www.firesidesecurity.com/,"info@firesidesecurity.com,you@company.com",done
Software Developers Inc. (SDI),https://www.cumulations.com/,"sales@cumulations.com,writeforcumulations@gmail.com,you@company.com",done
CodePure,http://www.codepure.co.za/,info@codepure.co.za,done
Total Group of Companies - Fire | Rescue | Medical | HSE,https://www.totalgroup.ca/,info@totalgroup.ca,done
Greenhouse Web Designs,https://www.greenhousewebdesigns.com/,greenhousewebdesigns@gmail.com,done
Kevcor,http://fgsnet.co.za/,"info@fgsnet.co.za,stella@fgsnet.co.za,you@example.com",done
"Black Eagle Fire & Security, Inc.",https://blackeagleus.com/,"Azitag@blackeagleus.com,hparsa@blackeagleus.com,info@blackeagleus.com,ralphb@blackeagleus.com",done
Maximum Fire Protection,http://www.maximumfp.com/,"hello@rfuenzalida.com,impallari@gmail.com,info@maximumfireprotection.net",done
Trango Tech San Jose - Mobile App Development Company,https://www.techi247.com/,,no email
City Fire and Safety,http://www.taligenix.co.za/,,no email
City Fire and Safety,https://www.sentinelfiresafetysolutions.co.za/,,no website
Securocity,http://www.securocity.co.za/,securocity@gmail.com,done
PHINEM GRAPHIX,https://phinemgraphix.co.za/,info@phinemgraphix.co.za,done
Fire Alert,http://www.firealert.co.za/,,no email
Rural Metro Emergency Management Services,https://www.ruralmetro.co.za/,"admin@ruralmetrobw.com,headoffice@ruralmetrosa.com,training@ruralmetrosa.com,trevor@ruralmetrosa.com",done
NDS Security Solutions,http://www.ndssecuritysolutions.co.za/,"info@ndssecuritysolutions.co.za,salesballito@ndssecuritysolutions.co.za,saleschats@ndssecuritysolutions.co.za,salespmb@ndssecuritysolutions.co.za,salesrbay@ndssecuritysolutions.co.za,salestoti@ndssecuritysolutions.co.za,support@securitydistributor.com",done
Terabyte Technologies,https://www.terabytedesigns.co.za/,"hello@terabytedesigns.co.za,info@terabytedesigns.co.za",done
Trango Tech San Jose - Mobile App Development Company,https://47billion.com/,hello@47billion.com,done
"Fire Detection Unlimited, Inc.",http://www.firedetect.com/,resumes@firedetect.com,done
Koderspedia - Mobile App Development Company California,http://www.koderspedia.com/,,no website
Stellfire,http://www.stellfire.co.za/,,no website
ABC Security,https://www.astek.co.za/,"Astekstb@gmail.com,Mail@astek.co.za,Marketing@astek.co.za,astekbellville@gmail.com,astekstb@gmail.com,mail@astek.co.za,marketing@astek.co.za",done
Leaply Technologies,https://leap.ly/,,no email
Allsound Security Cc,https://www.allsound.co.za/,info@allsound.co.za,done
George Alarm,https://www.georgealarm.com/,"18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress,2062d0a4929b45348643784b5cb39c36@sentry.wixpress,271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress,460ff4620fa44cba8df530afde949785@sentry.wixpress,5d1795a2db124a268f1e1bd88f503500@sentry.wixpress,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress,8c4075d5481d476e945486754f783364@sentry.io,Georgealarmbilling@gmail.com,c183baa23371454f99f417f6616b724d@sentry.wixpress,careers@georgealarm.net,dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress,ed436f5053144538958ad06a5005e99a@sentry.wixpress,georgealarmbilling@gmail.com,sales@georgealarm.com",done
Virgo Development,https://virgodev.com/,support@virgodev.com,done
Knysna Fire Safety Equipment,https://fireprotech.co.za/,"carlo@fireprotech.co.za,hello@fireprotech.co.za,sales@fireprotech.co.za",done
Knysna Fire Safety Equipment,https://www.grfire.co.za/,wendell@grfire.co.za,done
Electron Software Solutions,http://www.electronsoftwaresolutions.co.za/,,no email
Industrial Fire & Emergency Services cc,http://www.temoc.co.za/,admin@temoc.co.za,done
SA Fire & Emergency Services,https://www.safe247.co.za/,,no email
THE SECURITY MECCA RICHARDS BAY,https://www.secmecrb.co.za/,,no website
Future Empire Technology Solutions,https://www.saryx.com/?utm_source=GMB&utm_medium=Organic&utm_term=%7B%7Bad.name%7D%7D&utm_content=Listing&utm_campaign=GMB1,"careers@saryx.com,info@saryx.com,quotes@hseconline.com,sales@hseconline.com,support@hseconline.com,training@saryx.com",done
Security Hyperstore Richards Bay,http://www.securityhyperstore.co.za/,black@friday.com,done
Mighty Fire Enterprises (Pty) Ltd,http://www.mightyfire.co.za/,"info@mightyfire.co.za,mightyfireenterprises@gmail.com",done
Vital Security,http://instruman.co.za/,"i.admin@instruman.co.za,inforeg@justice.gov",done
Collabrains Technologies.,https://collabrainstechnologies.co.za/,,no website
CSA Fire & Safety,http://www.csafire.co.za/,,no website
FestFireSecurity™,http://www.fest.co.za/,,no email
The Security Mecca - Potch,http://www.secmec.shop/,,no website
Matogen Corporate Web & Software Development,https://www.matogen.com/,,no email
TLC FIRE,http://www.tlcfire.co.za/,"admin@tlcfire.co.za,andre@tlcfire.co.za,marie@tlcfire.co.za,training@tlcfire.co.za",done
Action Force CC,http://www.actionforce.co.za/,admin@actionforce.co.za,done
Global Solutions Group,http://www.globalsolutionsgroup.co.za/,"GSG@companydomain.com,info@globalsolutionsgroup.co.za,john@example.com,support@globalsolutionsgroup.co.za",done
Fire Quip Sales & Service,http://fire-quip.co.za/,"admin@fire-quip.co.za,bhm@fire-quip.co.za,bloem@fire-quip.co.za,kathu@fire-quip.co.za,marius@fire-quip.co.za,vaal@fire-quip.co.za",done
Shepherd Alarms,http://www.alro.co.za/,websales@alro.co.za,done
Affinitrend Development agency,https://affinitrend.com/,,no email
NEL TECH SUPPORT,https://neltechsupport-111.netlify.app/,,no email
The Fire Guy,http://www.firesolve.co.za/,"admin@firesolve.co.za,technical@firesolve.co.za",done
FireQuest,https://firequest.co.za/,,no email
Regal Distributors SA (Pty) Ltd,http://www.regalsecurity.co.za/,,no website
Siteweb Digital Marketing,https://www.siteweb.co.za/,info@siteweb.co.za,done
spot on fire tech - fire detection & compliance specialists,https://meljn88.wixsite.com/spotonfiretech,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress,8c4075d5481d476e945486754f783364@sentry.io,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress,c183baa23371454f99f417f6616b724d@sentry.wixpress,dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress,naidoodonaven0@gmail.com,spotonfiretech@gmail.com",done
BBD - Johannesburg,https://www.bbdsoftware.com/,,no email
Fast Fire & Security National,https://fastfire.co.za/,,no email
A N S Fire Protection Services CC,http://ansfire.co.za/,admin@ansfire.co.za,done
RSEC Security Equipment Centre Pty Ltd,https://rsec.co.za/,"dylon@rsec.co.za,info@rsec.co.za",done
N&T Software South Africa (Custom Mobile App |Ai App Development | Custom software Development Company in South Africa ),https://www.nntsoftware.com/software-development/services-south-africa/,,no email
Fire Protection Services (Pty) Ltd,http://onpoints.co.za/,,no email
Citi Protection SA,https://www.citiprotection.co.za/,"creditors@citiprotection.co.za,cro@citiprotection.co.za,debtors@citiprotection.co.za,gm@citiprotection.co.za,hr@citiprotection.co.za,info@citiprotection.co.za,sales@citiprotection.co.za,technical@citiprotection.co.za",done
Fire Sprinkler Installations,https://www.facebook.com/profile.php?id=61583004659257,,no email
OPTIMUM SECURITY,http://www.optimumsecurity.co.za/,"accounts@optimumsecurity.co.za,brian@optimumsecurity.co.za,control1@optimumsecurity.co.za,guarding@optimumsecurity.co.za,guardingeln@optimumsecurity.co.za,guardingkwt@optimumsecurity.co.za,managereln@optimumsecurity.co.za,managerkwt@optimumsecurity.co.za,optimum@optimumsecurity.co.za,technical@optimumsecurity.co.za",done
Appimate,https://appimate.com/,info@appimate.com,done
Kevcor,http://www.rjfservices.co.za/,,no email
Amphibic Design,http://amphibic.design/,"accounts@amphibic.co.za,info@amphibic.co.za,jrdesign2015@amphibic.co.za,jtechws-3@aeon.co.za",done
Best Security,https://bestsecuritysa.co.za/contact,info@kwikwap.co.za,done
Lyalor Security Fedility-ADT Dealer,http://www.lyalorsecurity.co.za/,reception@lyalorsecurity.co.za,done
Tash Security Systems Cc,http://www.tash.co.za/,,no email
Brent on Fire,https://showme.co.za/george/industry/caw-fire-supplies/,"accounts@showme.co.za,dtp@showme.co.za,editor@showme.co.za,info@showme.co.za,support@showme.co.za",done
optima security,http://optimasecurity.co.za/,johank@optimasecurity.co.za,done
"Cloudfusion - Custom Web, App & Software Solutions",https://www.cloudfusion.co.za/,"abuse@cloudfusion.co.za,admin@cloudfusion.co.za,billing@cloudfusion.co.za,hello@cloudfusion.co.za,support@cloudfusion.co.za",done
Entersekt | The Financial Authentication Company,http://www.entersekt.com/,info@entersekt.com,done
NDS Security Solutions Richards Bay,https://www.ndssecuritysolutions.co.za/,"info@ndssecuritysolutions.co.za,salesballito@ndssecuritysolutions.co.za,saleschats@ndssecuritysolutions.co.za,salespmb@ndssecuritysolutions.co.za,salesrbay@ndssecuritysolutions.co.za,salestoti@ndssecuritysolutions.co.za,support@securitydistributor.com",done
Amidel KZN,http://www.amidel.co.za/,"connect@amidel.co.za,inforeg@justice.gov",done
Eduplay Software and Development (Pty) Ltd,http://www.eduplay.co.za/,"info@eduplay.co.za,mjs@eduplay.co.za,support@eduplay.co.za,susan@eduplay.co.za,you@example.com",done
Shepherd Alarms,https://kad-security.co.za/about-us/,admin@kad-security.co.za,done
Vaal Secure Solutions (Pty) Ltd,https://www.rescom.co.za/,webmaster@rescom.co.za,done
The Hub ZA Technologies,https://www.thehubzatech.co.za/,"info@thehubzatech.co.za,you@company.co.za",done
Marshall Fire Systems,https://www.satafafireservices.co.za/,sales@satafafireservices.co.za,done
Centurion Systems Soweto,https://www.centsys.co.za/,"info@centurionsystems.co.za,legal@centsys.co.za",done
Moosistheking software development,https://technoventors.co.za/,,no website
Cape Town Fire & Maintenance Services,http://firemaintenance.co.za/,info@firemaintenance.co.za,done
SSS Defence Unit company PTY LTD,http://hdssolutions.co.za/,,no website
J N L TECH AND SOFTWARE PTY LTD,https://www.jnltechandsoftware.co.za/,"info@jnltechandsoftware.co.za,jnltechsoftware@outlook.com",done
Mitchell's Plain Fire Station,http://www.capetown.gov.za/,"Electricityipp.enquiries@capetown.gov,Sustainableenergymarkets.enquiries@capetown.gov,electricityapplication.queries@capetown.gov,electricityapplication.queries@capetown.gov.za,electricityipp.enquiries@capetown.gov.za,estern@eskom.co.za,future.CapeTown@capetown.gov,future.capetown@capetown.gov.za,indigent.relief@capetown.gov,indigent.relief@capetown.gov.za,power@capetown.gov,sustainableenergymarkets.enquiries@capetown.gov.za,valuations@capetown.gov,valuations@capetown.gov.za,valuationsappeals@capetown.gov,valuationsappeals@capetown.gov.za,valuationsobjection@capetown.gov,valuationsobjection@capetown.gov.za,water@capetown.gov,water@capetown.gov.za,western@eskom.co.za",done
SecureView Home Security and Products,http://starsecurityservices.co.za/,info@starsecurityservices.co.za,done
DS MOLAPO PROJECTS AND FIRE SERVICES,http://www.dsmolapo.co.za/,"dsfireservice@gmail.com,dssebothoma@dsmolapo.co.za,lsebothoma@dsmolapo.co.za",done
M Quarts tech,https://mquarts.co.za/,mquarts21@gmail.com,done
Inzalo Yamaqhawe Technologies (Pty) Ltd,https://iytechnologies.co.za/,,no email
Pyro-Tech Security Suppliers,http://www.pyro-tech.co.za/,sales@pyro-tech.co.za,done
Fire Detection Systems,http://www.firedetect.co.za/,info@firedetect.co.za,done
Omega Security Solutions,https://www.omegasecuritysolutions.co.za/,"carl@omegasecuritysolutions.co.za,omega@omegasecuritysolutions.co.za",done
N1 Fire and Security 1475,http://www.firetec.co.za/,firesec@mweb.co.za,done
Novis Integrated Systems A FADT Authorised Dealership,https://novistech.co.za/,,no website
Warp Development,https://www.warpdevelopment.com/?utm_source=organic&utm_medium=gmb&utm_campaign=pretoria,"4c373d8e0d6847128ecbd3b0cb3d5297@warpdevelopment.com,sales@warpdevelopment.com,takedown@ispa.org,takedown@ispa.org.za",done
Sensor Security Eastern Cape,https://www.sensorsecurity.co.za/,"charmaine@sensorsecurity.co.za,eckard@sensorsecurity.co.za,edmund@sensorsecurity.co.za,info@sensorsecurity.co.za,info@sensorsecurity.net,marissah@sensorsecurity.co.za,nadine@sensorsecurity.co.za,techqueries@sensorsecurity.co.za,willem@sensorsecurity.co.za",done
BoosTech Kimberley,https://boostechsa.co.za/,boostechsa@gmail.com,done
SECURITECH (GEORGE),https://securitechdistributors.co.za/,"info@securitechdistributors.co.za,plett@securitechdistributors.co.za",done
CRT Digital,https://www.crtdigital.co.za/,"capetown@crtdigital.co.za,design@crtdigital.co.za,info@crtdigital.co.za,support@crtdigital.co.za",done
Polymorph Systems,http://www.polymorph.co.za/,,no email
Waltec CCTV,https://waltec.co.za/,"accounts@waltec.co.za,walter@waltec.co.za",done
Shepherd Alarms,http://www.lgsecurity.co.za/,"accounts@lgsecurity.co.za,info@lgsecurity.co.za",done
Global Software Innovations,https://www.globalsoftwares.co.za/,"2.@b7.pq,do@J.yoo,info@globalsoftwares.co.za",done
Lesleyled Technologies,http://www.lesleyledwaba.life/,,no website
IT Artisan Computer Services,https://itartisan.co.za/,fred@itartisan.co.za,done
Livex Software,https://livex.co.za/,"J@r.Ie,info@livex.co.za",done
Praelexis (Pty) Ltd,http://www.praelexis.com/,,no website
Code Blue Alarms & Monitoring,http://codebluealarms.co.za/,"info@codebluealarms.co.za,sales@codebluealarms.co.za,technical@codebluealarms.co.za",done
Vital Security,https://www.instagram.com/ms_securitysolutions?igsh=MTFzZ3Nvbzd1NGo0cg==,,no email
Marshall Fire Systems,http://igfire.co.za/,igfiresystems@gmail.com,done
Krayon Digital (PTY) ltd,https://krayon.co.za/,,no email
Vergo Tech,https://www.vergotech.co.za/,"bonke@vergotech.co.za,hello@liquid-themes.com",done
Zαfείrί,https://www.zafeiri.co.za/,,no website
Capital Fire & Safety Services,http://www.capitalfire.co.za/,"dheeraj@capitalfire.co.za,info@capitalfire.co.za,kassandra@capitalfire.co.za",done
Pyro-Tech Security Suppliers,http://www.pyro-tech.co.za/,sales@pyro-tech.co.za,done
BBD - Johannesburg,https://www.bbdsoftware.com/,,no email
Embedded-IQ,https://embedded-iq.com/,,no email
IoTdc (Pty) Ltd,https://iotdc.co.za/,sales@iotdc.co.za,done
CKR Consulting Engineers - Johannesburg,http://www.ckr.co.za/,,no email
Fundamental Capital,http://www.fundamentalvcc.co.za/,"charles@fundamentalvcc.co.za,hans@fundamental.co.za,hans@fundamentalvcc.co.za,info@fundamental.co.za,kai@fundamentalvcc.co.za,olivier@fundamentalvcc.co.za,uwe@fundamentalvcc.co.za",done
Angel Investment Network Ltd,https://www.angelinvestmentnetwork.co.uk/network,,no website
AUKODesigns,http://www.aukodesignss.co.za/,"info@aukodesignss.co.za,sales@aukodesignss.co.za",done
Fire Detection Systems,http://www.firedetect.co.za/,info@firedetect.co.za,done
A N S Fire Protection Services CC,http://ansfire.co.za/,admin@ansfire.co.za,done
RSEC Security Equipment Centre Pty Ltd,https://rsec.co.za/,"dylon@rsec.co.za,info@rsec.co.za",done
Rocketsoft | Mobile App Development Company - Cape Town,https://www.therocketsoft.com/,"darryn@therocketsoft.com,info@therocketsoft.com",done
Solid Systems,https://www.solidsystems.co.za/?utm_source=Google-My-Business&utm_medium=GMB&utm_campaign=CapeTown&utm_content=South-Africa,you@company-email.com,done
Trinity IoT Service Provider,https://www.trinity.co.za/,,no website
Kaltron Electrical Engineering,http://www.kaltron.co.za/,"cpillay@kaltron.co.za,info@kaltron.co.za",done
Newtown Partners,https://www.newtownpartners.com/,,no website
IDESO - Industrial Design Solutions,http://www.ideso.co.za/,marc@ideso.co.za,done
Fire Check,http://www.firecheck.co.za/,"info@firecheck.co.za,service@firecheck.co.za",done
Blue Flame Group,http://blueflamegroup.co/,"info@blueflamegrp.co.za,info@blueflamegrp.com",done
Blue Security,https://www.bluesecurity.co.za/,"CustomerCare@bluesecurity.co.za,customercare@bluesecurity.co.za",done
Kaleidocode Pty Ltd,http://www.kaleidocode.co.za/,,no website
Codesphere Systems,https://www.codesphere.co.za/,"brad@codesphere.co.za,complaints.IR@justice.gov,complaints.ir@justice.gov.za,info@codesphere.co.za",done
Musato Technologies,https://musatotech.co.za/,"admin@musatotech.co.za,hresources@musatotech.co.za,info@musatotech.co.za,support@musatotech.co.za",done
SMEC South Africa Durban,https://www.smec.com/location/south-africa/,,no website
eSiza Capital,http://esizacapital.com/,,no website
Trade & Investment KwaZulu-Natal,http://www.tikzn.co.za/,"info@tikzn.co.za,nosipho@tikzn.co.za",done
Pasculus Creative,http://pasculus.co.za/,,no website
EyeDentiFire,http://www.eyedentifire.co.za/,,no email
N1 Fire and Security 1475,http://www.firetec.co.za/,firesec@mweb.co.za,done
Novis Integrated Systems A FADT Authorised Dealership,https://novistech.co.za/,,no website
Livex Software,https://livex.co.za/,"J@r.Ie,info@livex.co.za",done
HJ Embedded Systems,http://www.hjsystems.co.za/,"admin@hjsystems.co.za,jabuhj@gmail.com",done
IoT.nxt,https://www.iotnxt.com/,,no email
Technology Station in Electronics,http://www.tselectronics.co.za/,admin@tselectronics.co.za,done
Fledge Capital,http://fledge.co.za/,"anlia@fledge.co.za,konrad@fledge.co.za",done
Oasis Design,http://oasisdesignstudio.co.za/,"john@company.com,mikesamangah@gmail.com",done
Fire Detection Services,http://www.firedetectionservicessa.co.za/,info@firedetectionservicessa.co.za,done
Gemlay Fire Alarm Systems,http://www.gemlayfire.co.za/,"info@gemlayfire.co.za,jb@gemlayfire.co.za",done
Extreme Security,http://www.extreme24-7.co.za/,"24-7@extreme24-7.co.za,lizell@extreme24-7.co.za,lizelle@extreme24-7.co.za,rudi@extreme24-7.co.za",done
COMPRSA,http://www.comprsa.com/,,no website
Intelligent Output Systems,http://www.iosystems.co.za/,"info@iosystems.co.za,inforeg@justice.gov,inforeg@justice.gov.za",done
Moregworks | Engineering Company in Port Elizabeth,http://www.moregworksprojects.co.za/,info@moregworksprojects.co.za,done
Xwena Capital,http://xwenacapital.com/,"info@xwenacapital.co.za,info@xwenacapital.com",done
OFT Group,https://oftgroup.co.za/,"accounts@oftgroup.co.za,byron.muller@ioftgroup.co.za,byron.muller@oftgroup.co.za,info@oftgroup.co.za,lana.stafford@oftgroup.co.za,natasha.gouws@oftgroup.co.za,natasha.swanepoel@oftgroup.co.za,petro.jacobs@oftgroup.co.za,petro@oftgroup.co.za,sam.taylor@oftgroup.co.za,tanya.coetzee@oftgroup.co.za",done
Design Engineering,https://inovine.co.za/,ashley@inovine.co.za,done
Ashes Fire and Security (Pty) Ltd,https://ashesfire.co.za/,admin@ashesfire.co.za,done
Code Blue Alarms & Monitoring,http://codebluealarms.co.za/,"info@codebluealarms.co.za,sales@codebluealarms.co.za,technical@codebluealarms.co.za",done
Vergo Tech,https://www.vergotech.co.za/,"bonke@vergotech.co.za,hello@liquid-themes.com",done
MSQ Technologies,http://www.msqtech.co.za/,"mfuneko@msqtech.co.za,sales@msqtech.co.za",done
Electronic & Power Manufacturing,http://www.epm.co.za/,sales@epm.co.za,done
Hlayisani Capital,https://www.hlayisani.com/,admin@hlayisani.com,done
New Perspective Design | Websites | Marketing | Graphics | Branding,https://www.newperspectivestudio.co.za/,info@newperspectivestudio.co.za,done
OFS Fire Services,https://www.centaofsfire.com/,"accounts@centaofsfire.com,sales@centaofsfire.com,systems@centaofsfire.com",done
Regal Distributors SA (Pty) Ltd,http://www.regalsecurity.co.za/,,no website
CodePure,http://www.codepure.co.za/,info@codepure.co.za,done
IQ Tech - Intelligent Quality Technology,https://www.iqtech.co.za/,"admin@iqtech.co.za,info@iqtech.co.za,info@quicksolve.co.za,inforeg@justice.gov,sales@iqtech-wc.co.za,sales@iqtech.co.za",done
Janca Electronics,https://u-tech.co.za/,,no website
Salvo Capital,https://salvocapital.com/,,no email
Brand New SA,http://brandnewsa.com/,,no website
